Date,Actual,Predicted,Window,ActualReturn,Error,PercentError,VolatilityPct,Trend,MarketCondition,PreviousPrice,Position,StrategyReturn,TradeChanged,TransactionCost,StrategyReturnAfterCosts,CumulativeMarketReturn,CumulativeStrategyReturn,MarketPortfolioValue,StrategyPortfolioValue,StrategyPeak,StrategyDrawdown,YearMonth
2022-07-18 00:00:00+00:00,109.0299988,114.53305,1,-0.024580059412191324,-5.503051737109374,-5.0472822137730535,41.13090694736437,-0.03497641428573672,High Volatility,111.7774963,1,-0.024580059412191324,True,0.001,-0.025580059412191325,-0.024580059412191324,-0.025580059412191325,97541.99405878087,97441.99405878087,97441.99405878087,0.0,2022-07
2022-07-19 00:00:00+00:00,113.8099976,113.71787,1,0.04384113411546697,0.0921249803710964,0.0809462984920548,41.85754021965033,0.3703093761905052,High Volatility,109.0299988,1,0.04384113411546697,False,0.0,0.04384113411546697,0.018183457022019622,0.017139615887904247,101818.34570220196,101713.96158879042,101713.96158879042,0.0,2022-07
2022-07-20 00:00:00+00:00,113.9000015,115.888664,1,0.0007908259546436369,-1.9886627456054669,-1.7459725368005958,41.794676758814255,0.32173810476187725,High Volatility,113.8099976,1,0.0007908259546436369,False,0.0,0.0007908259546436369,0.018988662926421318,0.017943996295644693,101898.86629264214,101794.39962956448,101794.39962956448,0.0,2022-07
2022-07-21 00:00:00+00:00,114.3399963,116.70384,1,0.0038629920474584356,-2.363845863085942,-2.067383190116425,39.474479738895354,0.1331427428571601,High Volatility,113.9000015,1,0.0038629920474584356,False,0.0,0.0038629920474584356,0.022925008027756322,0.02187630585809286,102292.50080277563,102187.63058580928,102187.63058580928,0.0,2022-07
2022-07-22 00:00:00+00:00,107.9000015,116.70384,1,-0.056323202802132655,-8.803840663085936,-8.159259073861955,44.27088591776664,-0.17083340952380865,High Volatility,114.3399963,1,-0.056323202802132655,False,0.0,-0.056323202802132655,-0.0346894046507642,-0.035679040555446684,96531.05953492358,96432.09594445533,102187.63058580928,-5.632320280213268,2022-07
2022-07-25 00:00:00+00:00,107.5100021,114.53305,1,-0.0036144522203738205,-7.023048437109381,-6.532460515233662,44.181838897254664,-0.2253330809523817,High Volatility,107.9000015,1,-0.0036144522203738205,False,0.0,-0.0036144522203738205,-0.03817847367547467,-0.039164532588464085,96182.15263245253,96083.5467411536,102187.63058580928,-5.973407749707975,2022-07
2022-07-26 00:00:00+00:00,105.0199966,114.53305,1,-0.02316068692551909,-9.513053937109376,-9.058326266513491,40.32846550398662,-0.616904852380955,High Volatility,107.5100021,1,-0.02316068692551909,False,0.0,-0.02316068692551909,-0.0604549209249019,-0.06141814203611751,93954.5079075098,93858.18579638825,102187.63058580928,-8.151128215490433,2022-07
2022-07-27 00:00:00+00:00,113.0599976,114.53305,1,0.07655685831549541,-1.4730529371093724,-1.30289489508124,48.92879462590148,-0.13207171904763015,High Volatility,105.0199966,1,0.07655685831549541,False,0.0,0.07655685831549541,0.01147369857487135,0.010436736281517867,101147.36985748714,101043.67362815178,102187.63058580928,-1.1194671518456383,2022-07
2022-07-28 00:00:00+00:00,114.2200012,116.70384,1,0.010260070976686464,-2.483840963085939,-2.174611221319037,47.60554326186182,0.10535721428571776,High Volatility,113.0599976,1,0.010260070976686464,False,0.0,0.010260070976686464,0.021851490513301153,0.020803888913217605,102185.14905133011,102080.38889132177,102187.63058580928,-0.10494586661099027,2022-07
2022-07-29 00:00:00+00:00,116.3199997,116.70384,1,0.01838555837801903,-0.3838424630859407,-0.3299883632014321,47.93800550588688,0.21992856190476573,High Volatility,114.2200012,1,0.01838555837801903,False,0.0,0.01838555837801903,0.040638800745799175,0.039571938405340346,104063.88007457992,103957.19384053403,103957.19384053403,0.0,2022-07
2022-08-01 00:00:00+00:00,114.8600006,116.70384,1,-0.012551574138286337,-1.843841563085931,-1.6052947531378745,47.267265193599215,0.28080967619048636,High Volatility,116.3199997,1,-0.012551574138286337,False,0.0,-0.012551574138286337,0.027577145687060822,0.026523674148363652,102757.71456870608,102652.36741483636,103957.19384053403,-1.2551574138286359,2022-08
2022-08-02 00:00:00+00:00,115.1299973,116.70384,1,0.0023506590509281278,-1.573844863085938,-1.367015460779428,47.233142012757284,0.30440448571427225,High Volatility,114.8600006,1,0.0023506590509281278,False,0.0,0.0023506590509281278,0.029992629205096932,0.028936681313992407,102999.26292050969,102893.66813139924,103957.19384053403,-1.0230419558709831,2022-08
2022-08-03 00:00:00+00:00,118.0800018,116.70384,1,0.0256232482340204,1.3761596369140676,1.165446829214113,45.89744103533277,0.2293810142857069,High Volatility,115.1299973,1,0.0256232482340204,False,0.0,0.0256232482340204,0.056384386022430455,0.055301381316390064,105638.43860224304,105530.138131639,105530.138131639,0.0,2022-08
2022-08-04 00:00:00+00:00,118.1900024,118.85334,1,0.0009315768828179749,-0.6633377489257839,-0.5612469205989151,45.77715620995936,0.17228589523810456,High Volatility,118.0800018,1,0.0009315768828179749,False,0.0,0.0009315768828179749,0.057368489295818836,0.0562844756876304,105736.84892958189,105628.44756876303,105628.44756876303,0.0,2022-08
2022-08-05 00:00:00+00:00,117.4700012,118.85334,1,-0.006091895975796957,-1.3833389489257826,-1.177610398224617,44.036632450487154,-0.06252361428572328,High Volatility,118.1900024,1,-0.006091895975796957,False,0.0,-0.006091895975796957,0.050927110450943225,0.04984970054089222,105092.71104509433,104984.97005408922,105628.44756876303,-0.6091895975796795,2022-08
